Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
symmetric,0.3,5,SVM,0.8352784602784603,0.5657219973009446
symmetric,0.3,5,KNN,0.7029074529074529,0.46556169429097605
symmetric,0.3,5,LightGBM,0.8528869778869779,0.6559731864974863
asymmetric,0.0,1,Logistic Regression,0.8255706827720339,0.5539267015706806
asymmetric,0.0,1,Decision Tree,0.8098065308629337,0.6132389675270608
asymmetric,0.0,1,Random Forest,0.8557682464940116,0.6755698825696523
asymmetric,0.0,1,SVM,0.8483979936533934,0.6356703567035671
asymmetric,0.0,1,KNN,0.8283345275872659,0.6189502385821404
asymmetric,0.0,1,LightGBM,0.8734773262360528,0.7125581395348837
asymmetric,0.0,2,Logistic Regression,0.8279250690961204,0.5596017815037988
asymmetric,0.0,2,Decision Tree,0.8133892926604566,0.6123750797363385
asymmetric,0.0,2,Random Forest,0.8543351417750026,0.6661975134881539
asymmetric,0.0,2,SVM,0.8504452861091207,0.635388070875967
asymmetric,0.0,2,KNN,0.8289487153239841,0.6143549503807986
asymmetric,0.0,2,LightGBM,0.8746033370867028,0.7129130536676822
asymmetric,0.0,3,Logistic Regression,0.8226863226863227,0.5468341182626897
asymmetric,0.0,3,Decision Tree,0.808046683046683,0.6086412022542267
asymmetric,0.0,3,Random Forest,0.8566748566748567,0.6756255792400371
asymmetric,0.0,3,SVM,0.8483824733824734,0.6307653951633009
asymmetric,0.0,3,KNN,0.8292383292383292,0.6224535989135356
asymmetric,0.0,3,LightGBM,0.8737714987714987,0.714252607184241
asymmetric,0.0,4,Logistic Regression,0.8308763308763308,0.5657202944269191
asymmetric,0.0,4,Decision Tree,0.8164414414414415,0.6243452755080662
asymmetric,0.0,4,Random Forest,0.8609746109746109,0.6849187935034803
asymmetric,0.0,4,SVM,0.8536036036036037,0.6518987341772152
asymmetric,0.0,4,KNN,0.8341523341523341,0.6370967741935484
asymmetric,0.0,4,LightGBM,0.8763308763308764,0.7190697674418605
asymmetric,0.0,5,Logistic Regression,0.8173628173628174,0.5302790942601369
asymmetric,0.0,5,Decision Tree,0.812960687960688,0.6110283159463488
asymmetric,0.0,5,Random Forest,0.8563677313677314,0.6694935217903416
asymmetric,0.0,5,SVM,0.8466420966420967,0.6232394366197183
asymmetric,0.0,5,KNN,0.8251433251433251,0.610223642172524
asymmetric,0.0,5,LightGBM,0.8726453726453727,0.7070183702308055
asymmetric,0.1,1,Logistic Regression,0.8164602313440475,0.47680186752261455
asymmetric,0.1,1,Decision Tree,0.8078616030299929,0.5842746400885935
asymmetric,0.1,1,Random Forest,0.8544375063977889,0.6541828793774319
asymmetric,0.1,1,SVM,0.8472719828027434,0.6136716727084413
asymmetric,0.1,1,KNN,0.8257754120176067,0.5898795180722891
asymmetric,0.1,1,LightGBM,0.8738867847271983,0.7016949152542373
asymmetric,0.1,2,Logistic Regression,0.8205548162555021,0.49173673528559003
asymmetric,0.1,2,Decision Tree,0.8040741119868974,0.5698876404494382
asymmetric,0.1,2,Random Forest,0.8546422356433616,0.6469418199900547
asymmetric,0.1,2,SVM,0.8491145460128979,0.6116965226554267
asymmetric,0.1,2,KNN,0.8241375780530249,0.5745418524021793
asymmetric,0.1,2,LightGBM,0.8717371276486846,0.6885408898831717
asymmetric,0.1,3,Logistic Regression,0.8171580671580672,0.4847085978072706
asymmetric,0.1,3,Decision Tree,0.8042588042588042,0.5821678321678322
asymmetric,0.1,3,Random Forest,0.8548321048321048,0.6509108813392418
asymmetric,0.1,3,SVM,0.8454135954135954,0.6045049764274489
asymmetric,0.1,3,KNN,0.8278050778050778,0.5968360498561841
asymmetric,0.1,3,LightGBM,0.8711097461097461,0.6901304454836328
asymmetric,0.1,4,Logistic Regression,0.8234029484029484,0.4986922406277245
asymmetric,0.1,4,Decision Tree,0.806920556920557,0.5808888888888889
asymmetric,0.1,4,Random Forest,0.8566748566748567,0.6539792387543253
asymmetric,0.1,4,SVM,0.8526822276822277,0.6269121078558465
asymmetric,0.1,4,KNN,0.8317977067977068,0.6102016607354686
asymmetric,0.1,4,LightGBM,0.8734643734643734,0.6963144963144963
asymmetric,0.1,5,Logistic Regression,0.8157248157248157,0.47582993593476997
asymmetric,0.1,5,Decision Tree,0.8037469287469288,0.5685347738014855
asymmetric,0.1,5,Random Forest,0.8506347256347256,0.6353411647088228
asymmetric,0.1,5,SVM,0.8444922194922195,0.5997364953886694
asymmetric,0.1,5,KNN,0.822993447993448,0.5777777777777777
asymmetric,0.1,5,LightGBM,0.867014742014742,0.6769460333250436
asymmetric,0.2,1,Logistic Regression,0.8046882997236156,0.3872832369942196
